First_Name,Last_Name,Phone,Email,Register_Number,Institution_Name,Mode,Course_Name,Total,Entry_Date,Payment_Status
nywucvu,yhcnj,(970)566-397-1,nywucvuyhcnj@gmail.com,3al66788596,alvas,Online,Cyber Security-l1,5000,25-7-2022 16:6:16,not paid
oorarq,futgv,(052)317-465-5,oorarqfutgv@outlook.com,7m89382445,manipal,Offline,Cyber Security-l0,4500,17-10-2023 16:48:24,paid
nhkllr,fhoiw,(736)334-594-7,nhkllrfhoiw@gmail.com,5m78283225,manipal,Offline,Web Development-15weeks,3000,1-12-2021 11:24:37,not paid
xrixkr,pgfet,(721)987-820-2,xrixkrpgfet@gmail.com,3m02112202,manipal,Offline,Java Full-stack,5500,13-10-2021 12:7:9,paid
tlurbo,lsmgt,(808)183-351-0,tlurbolsmgt@yahoo.com,3mp71307077,mite,Online,Web Development-15weeks,3000,16-5-2021 17:37:17,not paid
yqvyo,yweql,(641)447-073-5,yqvyoyweql@gmail.com,8nm98254890,nitte,Offline,iot,4000,6-7-2023 13:8:12,not paid
oqglgecn,bucgk,(110)689-479-2,oqglgecnbucgk@gmail.com,9mp56702217,mite,Online,Cyber Security-l1,5000,18-8-2022 10:15:16,paid
jeym,hlmp,(619)226-918-5,jeymhlmp@gmail.com,1al73563252,alvas,Online,Java Full-stack,5500,2-7-2022 16:21:22,not paid
fewiwz,aobye,(076)446-388-6,fewiwzaobye@gmail.com,8al58136392,alvas,Online,Web Development,5000,26-11-2022 13:44:42,not paid
uihn,kapf,(305)742-137-7,uihnkapf@yahoo.com,7mp76121125,mite,Online,Web Development,5000,14-11-2021 10:30:13,not paid
xbbcs,oibrn,(745)808-571-2,xbbcsoibrn@outlook.com,2al66607020,alvas,Online,Web Development-15weeks,3000,4-10-2022 10:47:50,paid
ihipodn,huskr,(571)610-641-7,ihipodnhuskr@outlook.com,1nm83012960,nitte,Online,ai-ml,6000,22-2-2022 11:33:19,not paid
trdz,tdvn,(134)895-030-4,trdztdvn@outlook.com,7sp33771197,sdm,Offline,Cyber Security-l1,5000,16-7-2023 17:42:4,not paid
dbrvkj,ryblr,(636)674-976-6,dbrvkjryblr@outlook.com,0m72750620,manipal,Online,Cyber Security-l1,5000,5-8-2022 13:13:7,paid
vrgmwim,jtjoo,(593)050-059-6,vrgmwimjtjoo@outlook.com,8mp84194532,mite,Offline,Web Development-15weeks,3000,8-6-2023 16:31:19,paid
mlvww,zhfnf,(174)375-836-4,mlvwwzhfnf@outlook.com,3mp46969151,mite,Online,Cyber Security-l0,4500,25-8-2023 17:39:33,paid
khf,lgk,(961)023-875-5,khflgk@gmail.com,0sp43793051,sdm,Offline,Java Full-stack,5500,24-12-2023 13:33:33,paid
agvxozs,fzdua,(652)883-639-2,agvxozsfzdua@outlook.com,2nm12246166,nitte,Offline,Cyber Security-l0,4500,1-9-2023 12:29:17,not paid
kjjfy,qaefr,(645)105-202-8,kjjfyqaefr@outlook.com,5al95614170,alvas,Offline,Java Full-stack,5500,22-1-2022 17:8:1,paid
iutxso,odrzo,(482)865-716-6,iutxsoodrzo@yahoo.com,2mp48584028,mite,Online,Web Development-15weeks,3000,2-1-2022 16:20:22,paid
tlqo,mhdp,(082)530-703-1,tlqomhdp@gmail.com,9nm72625185,nitte,Offline,Java Full-stack,5500,23-10-2021 17:17:42,paid
kuzr,ysfb,(101)867-218-1,kuzrysfb@yahoo.com,0mp91120081,mite,Online,ai-ml,6000,17-9-2023 13:23:24,not paid
dcwwig,htvyl,(183)134-870-2,dcwwightvyl@gmail.com,1mp18445750,mite,Online,iot,4000,18-1-2022 16:49:2,paid
tnff,lxnz,(303)275-089-4,tnfflxnz@gmail.com,7nm58280330,nitte,Online,iot,4000,8-12-2023 14:7:50,paid
ghfsqsnw,mgawe,(964)897-932-6,ghfsqsnwmgawe@gmail.com,1sp75669404,sdm,Online,Cyber Security-l0,4500,2-6-2023 13:3:21,not paid
iyvwd,phlqr,(402)285-292-9,iyvwdphlqr@outlook.com,6nm85077000,nitte,Online,Java Full-stack,5500,3-10-2021 14:6:22,paid
lle,ekk,(851)321-683-7,lleekk@yahoo.com,4mp98767084,mite,Online,iot,4000,22-2-2023 16:10:32,paid
ielwsr,ptufd,(137)862-690-3,ielwsrptufd@gmail.com,2mp47204086,mite,Online,Web Development-15weeks,3000,28-1-2022 16:41:44,not paid
gfwty,etvwz,(725)315-280-9,gfwtyetvwz@outlook.com,8nm53219094,nitte,Online,Cyber Security-l0,4500,2-1-2023 17:18:19,not paid
ixrgh,opnwz,(513)049-119-7,ixrghopnwz@outlook.com,0sp26731377,sdm,Online,ai-ml,6000,19-5-2022 12:48:10,not paid
lllvt,uamxf,(000)317-431-4,lllvtuamxf@gmail.com,3sp87716503,sdm,Offline,Web Development,5000,10-4-2023 12:56:23,not paid
ecjamj,zkgmc,(798)121-391-0,ecjamjzkgmc@gmail.com,8nm65248571,nitte,Online,iot,4000,1-12-2021 12:43:41,not paid
hbymwykd,knufz,(410)281-131-9,hbymwykdknufz@outlook.com,8m21835306,manipal,Offline,Cyber Security-l0,4500,9-2-2023 16:29:35,not paid
ksuetyhb,xucnt,(292)055-301-1,ksuetyhbxucnt@gmail.com,9sp22187825,sdm,Offline,Cyber Security-l0,4500,10-12-2022 11:13:26,not paid
jug,ink,(375)857-304-1,jugink@outlook.com,0mp26581707,mite,Offline,Cyber Security-l0,4500,7-10-2021 17:40:21,not paid
kwebjwy,dxiin,(170)101-982-5,kwebjwydxiin@yahoo.com,9m84366018,manipal,Online,ai-ml,6000,24-3-2023 13:50:41,not paid
nlmmmla,mxcss,(969)352-705-6,nlmmmlamxcss@outlook.com,0nm45486904,nitte,Offline,iot,4000,11-7-2022 17:43:34,paid
djy,qkz,(900)173-703-7,djyqkz@yahoo.com,7sp30284346,sdm,Offline,Web Development,5000,14-3-2022 13:12:31,not paid
vltp,nqnq,(409)278-456-2,vltpnqnq@yahoo.com,4mp46716931,mite,Online,Cyber Security-l1,5000,26-2-2021 17:23:45,paid
bejgarmr,doshu,(042)727-567-2,bejgarmrdoshu@yahoo.com,0al13760535,alvas,Offline,Cyber Security-l1,5000,5-9-2021 10:54:6,not paid
hcqtxxb,vxjwo,(849)307-246-4,hcqtxxbvxjwo@gmail.com,4m96353858,manipal,Offline,Cyber Security-l0,4500,20-6-2022 15:43:15,paid
poln,udrr,(320)514-498-7,polnudrr@gmail.com,0sp18404781,sdm,Online,Cyber Security-l0,4500,5-1-2021 11:18:15,not paid
wammne,srekw,(703)567-944-1,wammnesrekw@outlook.com,8mp23341808,mite,Offline,ai-ml,6000,12-1-2021 14:58:19,paid
eofo,bzlg,(341)957-367-8,eofobzlg@outlook.com,2nm93519209,nitte,Online,Cyber Security-l1,5000,1-2-2021 10:29:1,not paid
cndor,zweam,(619)050-125-6,cndorzweam@outlook.com,5sp62916642,sdm,Online,Cyber Security-l0,4500,10-12-2022 14:23:32,paid
dtlh,vnmy,(752)699-435-3,dtlhvnmy@outlook.com,7mp24892163,mite,Offline,Cyber Security-l1,5000,13-2-2023 14:59:29,paid
nalvj,seesb,(265)274-006-0,nalvjseesb@gmail.com,9m31969067,manipal,Offline,Cyber Security-l0,4500,6-12-2023 14:48:12,paid
